Year,Datetime,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
1938.0,19 Jun 1938 - 17:00 ,Match for third place,Stade du Parc Lescure,Brazil,4.0,2.0,Sweden
1938.0,19 Jun 1938 - 17:00 ,Final,Stade Olympique,Italy,4.0,2.0,Hungary
1950.0,24 Jun 1950 - 15:00 ,Group 1,Maracanã Stadium,Brazil,4.0,0.0,Mexico
1950.0,25 Jun 1950 - 15:00 ,Group 2,Maracanã Stadium,England,2.0,0.0,Chile
1950.0,25 Jun 1950 - 15:00 ,Group 2,Durival de Brito,Spain,3.0,1.0,USA
1950.0,25 Jun 1950 - 15:00 ,Group 3,Pacaembu,Sweden,3.0,2.0,Italy
1950.0,25 Jun 1950 - 15:00 ,Group 1,Independencia,Yugoslavia,3.0,0.0,Switzerland
1950.0,28 Jun 1950 - 15:00 ,Group 1,Pacaembu,Brazil,2.0,2.0,Switzerland
1950.0,28 Jun 1950 - 15:00 ,Group 1,Eucaliptos,Yugoslavia,4.0,1.0,Mexico
1950.0,29 Jun 1950 - 15:00 ,Group 2,Maracanã Stadium,Spain,2.0,0.0,Chile
1950.0,29 Jun 1950 - 15:30 ,Group 3,Durival de Brito,Sweden,2.0,2.0,Paraguay
1950.0,29 Jun 1950 - 15:00 ,Group 2,Independencia,USA,1.0,0.0,England
1950.0,01 Jul 1950 - 15:00 ,Group 1,Maracanã Stadium,Brazil,2.0,0.0,Yugoslavia
1950.0,02 Jul 1950 - 15:00 ,Group 2,Maracanã Stadium,Spain,1.0,0.0,England
1950.0,02 Jul 1950 - 15:00 ,Group 3,Pacaembu,Italy,2.0,0.0,Paraguay
1950.0,02 Jul 1950 - 15:00 ,Group 4,Independencia,Uruguay,8.0,0.0,Bolivia
1950.0,02 Jul 1950 - 15:40 ,Group 1,Eucaliptos,Switzerland,2.0,1.0,Mexico
1950.0,02 Jul 1950 - 15:00 ,Group 2,Ilha do Retiro,Chile,5.0,2.0,USA
1950.0,09 Jul 1950 - 15:00 ,Group 6,Pacaembu,Uruguay,2.0,2.0,Spain
1950.0,09 Jul 1950 - 15:00 ,Group 6,Maracanã Stadium,Brazil,7.0,1.0,Sweden
1950.0,13 Jul 1950 - 15:00 ,Group 6,Maracanã Stadium,Brazil,6.0,1.0,Spain
1950.0,13 Jul 1950 - 15:00 ,Group 6,Pacaembu,Uruguay,3.0,2.0,Sweden
1950.0,16 Jul 1950 - 15:00 ,Group 6,Pacaembu,Sweden,3.0,1.0,Spain
1950.0,16 Jul 1950 - 15:00 ,Group 6,Maracanã Stadium,Uruguay,2.0,1.0,Brazil
1954.0,16 Jun 1954 - 18:00 ,Group 3,Wankdorf Stadium,Uruguay,2.0,0.0,Czechoslovakia
1954.0,16 Jun 1954 - 18:00 ,Group 3,Hardturm,Austria,1.0,0.0,Scotland
1954.0,16 Jun 1954 - 18:00 ,Group 1,Charmilles,Brazil,5.0,0.0,Mexico
1954.0,16 Jun 1954 - 18:00 ,Group 1,La Pontaise,Yugoslavia,1.0,0.0,France
1954.0,17 Jun 1954 - 18:00 ,Group 2,Wankdorf Stadium,Germany FR,4.0,1.0,Turkey
1954.0,17 Jun 1954 - 18:00 ,Group 2,Hardturm,Hungary,9.0,0.0,Korea Republic
1954.0,17 Jun 1954 - 18:10 ,Group 4,St. Jakob,England,4.0,4.0,Belgium
1954.0,17 Jun 1954 - 17:50 ,Group 4,La Pontaise,Switzerland,2.0,1.0,Italy
1954.0,19 Jun 1954 - 16:50 ,Group 3,St. Jakob,Uruguay,7.0,0.0,Scotland
1954.0,19 Jun 1954 - 17:00 ,Group 3,Hardturm,Austria,5.0,0.0,Czechoslovakia
1954.0,19 Jun 1954 - 17:10 ,Group 1,Charmilles,France,3.0,2.0,Mexico
1954.0,19 Jun 1954 - 17:00 ,Group 1,La Pontaise,Brazil,1.0,1.0,Yugoslavia
1954.0,20 Jun 1954 - 16:50 ,Group 2,St. Jakob,Hungary,8.0,3.0,Germany FR
1954.0,20 Jun 1954 - 17:00 ,Group 2,Charmilles,Turkey,7.0,0.0,Korea Republic
1954.0,20 Jun 1954 - 17:10 ,Group 4,Wankdorf Stadium,England,2.0,0.0,Switzerland
1954.0,20 Jun 1954 - 17:00 ,Group 4,Comunale di Cornaredo,Italy,4.0,1.0,Belgium
1954.0,23 Jun 1954 - 18:00 ,Group 2,Hardturm,Germany FR,7.0,2.0,Turkey
